Incident_ID,Weapon_Type
19801013ALCET,Handgun
19801031ALHUH,Handgun
19801117TXEAF,Handgun
19801212ALPAB,Handgun
19801212OHLOL,Handgun
19810121OHWIB,Handgun
19810122MDFRB,Handgun
19810210ARLIL,Handgun
19810210CAMAL,Shotgun
19810303INMAI,Handgun
19810328FLDIF,Handgun
19810402OHALC,Handgun
19810407MSPOP,No Data
19810515LANEN,Handgun
19810901PAWIP,Handgun
19810904NMHOS,Handgun
19810908FLSTW,Handgun
19810913MDABA,Handgun
19811013CTHAH,Handgun
19811209NYGEB,Handgun
19811216TXUNH,Handgun
19811223NYJAB,Handgun
19820205TNHAM,Handgun
19820208MADOD,Handgun
19820209LAJON,No Data
19820315ORSPS,Handgun
19820317OHLOL,Handgun
19820319NVVAL,Handgun
19820407CODEL,Handgun
19820415MDFOB,Handgun
19820429GARUE,Rifle
19820430FLANA,Handgun
19820527NVGAL,Other
19820910VALAB,No Data
19820915ARSOP,Handgun
19821101NYELE,Handgun
19821108MICOD,Handgun
19821112MSWIJ,Shotgun
19821206ALHUH,Handgun
19821220MIFID,Handgun
19830118TXJOH,Handgun
19830120MOPAB,Handgun
19830120MOPAB,Handgun
19830128MDWIB,Handgun
19830130TXWEC,Handgun
19830131FLDED,Handgun
19830201TNRIM,Handgun
19830202NMALA,No Data
19830331ILSAC,Handgun
19830421MOBES,No Data
19830516NYBRN,Rifle
19830516TXLAD,Handgun
19830518FLNOM,Handgun
19830523OHMAM,Handgun
19830526PAGRJ,Handgun
19830912CAMAC,Multiple Handguns
19830912MIHED,Handgun
19830921MDWAB,Handgun
19830930TXTET,No Data
19831007CACOL,Handgun
19831022MDCAB,Other
19831108MIHIH,Handgun
19831117ILJAC,Handgun
19831118MDHAB,Handgun
19831202INCRC,Handgun
19831216ILBOR,Handgun
19840105MDLAB,Handgun
19840206KYCEL,Handgun
19840221TXSHH,Handgun
19840224CA49L,Rifle
19840224CA49L,Shotgun
19840224CA49L,Shotgun
19840405LACLC,Handgun
19840420MIPRD,Handgun
19840426NCROW,Handgun
19840515MTCMG,Rifle
19840517IASOP,Handgun
19840517TXBOH,Handgun
19840518CANON,Shotgun
19840522OHCLC,Handgun
19840710MIMUD,No Data
19840831LABOS,Handgun
19840928TXMIH,Rifle
19840928TXRIN,Multiple Unknown
19841021PAWYE,Other
19841022MICED,Handgun
19841024MISOD,Handgun
19841024OHWEC,Handgun
19841030SCPEP,Handgun
19841031LAEAG,Handgun
19841109CTWIN,Handgun
19841126MDMIR,Handgun
19841207MOEDS,Multiple Unknown
19850118TXARA,Shotgun
19850121KSGOG,Handgun
19850121KSGOG,Rifle
19850126MASTB,Handgun
19850205CTAIH,Handgun
19850416TXMAA,Handgun
19850516FLPAB,Handgun
19850724TXHIH,Handgun
19850904VAEAR,Handgun
19850909TXWHH,Handgun
19850920TXLAC,Handgun
19850925OHTRT,Handgun
19851008MDLAB,Handgun
19851018MIMUD,Shotgun
19851022OHSOG,Handgun
19851126WASPS,Rifle
19851127ALCHB,Handgun
19851203NHCOC,Shotgun
19851209PAARP,Other
19851210CTPOP,Handgun
19860109NCNOD,Handgun
19860117CAVAL,Handgun
19860129MDLAB,Handgun
19860224LABOS,Handgun
19860306ILTHD,Handgun
19860423FLCHM,Handgun
19860429MOSES,Shotgun
19860509NCPIF,Handgun
19860515GACAA,Rifle
19860517TNMAN,Handgun
19860912CAFAL,Handgun
19860918CABEB,Handgun
19861003CAMOM,Handgun
19861008TXSOD,Handgun
19861204MTFEL,No Data
19870114CALOL,Handgun
19870123MIRED,No Data
19870210ARDAD,Rifle 
19870213AZORM,Multiple Unknown
19870224NYMON,Handgun
19870302MODED,Handgun
19870306TXRIE,No Data
19870330CAPAS,Handgun
19870416MIMUD,Handgun
19870430ORGRP,Handgun
19870503INPII,Handgun
19870506ARMAJ,Handgun
19870506FLLET,Handgun
19870513ILOAO,Handgun
19870928ILILL,Handgun
19871014ILDUC,Handgun
19871030NCSOK,Handgun
19871104MISOD,Handgun
19871114FLCLC,Handgun
19871130TXPES,Handgun
19871202FLENJ,Handgun
19871204NYEAN,Handgun
19871215NYGRB,No Data
19871216TXMAK,Handgun
19880105PASPS,Handgun
19880106FLGAT,Handgun
19880108PACRM,Handgun
19880120LASIR,Handgun
19880129TXREA,No Data
19880202ALWET,Multiple Unknown
19880211FLPIL,Handgun
19880211FLPIL,Handgun
19880226RIBRB,Handgun
19880304MILED,No Data
19880323CACAS,No Data
19880324TXTRA,Other
19880505ILMAC,Handgun
19880516FLFOF,Handgun
19880520ILHUW,Handgun
19880520ILHUW,Handgun
19880520ILHUW,Handgun
19880531NYPUB,No Data
19880602MSWIJ,Handgun
19880617MIJOD,Handgun
19880630HIAIO,Handgun
19880710WISIM,Other
19880711MSLAJ,Handgun
19880831MICED,Multiple Handguns
19880831SCWEA,Handgun
19880902GAGLA,Handgun
19880902NCGAC,Handgun
19880903TXLID,Handgun
19880922ILMOC,Handgun
19880926SCOAG,Handgun
19881003FLMAM,Rifle
19881004FLJEJ,Handgun
19881004LAISB,No Data
19881005MDEDB,Handgun
19881006ALMOM,Handgun
19881007MDSOB,Handgun
19881007TXDIP,Handgun
19881101FLPAJ,Handgun
19881107UTGLS,Handgun
19881122TXABA,Handgun
19881216VAATV,Handgun
19890105ARHEL,Handgun
19890117CACLS,Handgun
19890117CACLS,Rifle
19890126DCWOW,Handgun
19890210UTTHK,Handgun
19890303INWIG,Handgun
19890426TXAMD,Handgun
19890911AZDYE,Handgun
19890918KYJAM,Shotgun
19891005CALOA,Handgun
19891005CALOA,Shotgun
19891031TXOLD,Other
19891113NYALN,Handgun
19891115TXWOA,Handgun
19891122CACHO,Handgun
19891204LACAS,No Data
19891205PASEM,Handgun
19891205TXWWD,Handgun
19891212SCCHC,Handgun
19900116RICEP,No Data
19900220OHTAC,Handgun
19900327NYNEB,Handgun
19900403TXSKD,Handgun
19900504CAMOE,Handgun
19900520TNHIC,No Data
19900531TXSUF,Handgun
19900824NCMYC,Handgun
19900827NVELL,Handgun
19900827TXWHD,Handgun
19900911TXSAS,Handgun
19900922ALLEB,Handgun
19901002TXWHD,Handgun
19901029INCHC,Handgun
19901030TXNAG,Handgun
19901213LASAS,No Data
19910108TXRIR,Handgun
19910117TXHOD,Handgun
19910219LABON,Handgun
19910313ALSES,Handgun
19910314SCWOP,No Data
19910325NCGAC,No Data
19910411SCNOR,Handgun
19910423CARAC,No Data
19910423MSHUB,Handgun
19910510OHFRC,Handgun
19910516KSCOK,Rifle
19910521CAROS,Handgun
19910521FLSCP,Handgun
19910722CAWEL,Handgun
19910730CAENC,Handgun
19910913TXMAH,Handgun
19910917ILWOC,Handgun
19910918TXCRC,Handgun
19911002TXSPH,Handgun
19911004CADOL,Handgun
19911004CAROL,Handgun
19911009NYJAB,Handgun
19911011MAMAR,Handgun
19911015NHMOS,Rifle
19911015SCWOW,Handgun
19911015TXGEP,Rifle
19911023TXOAD,Handgun
19911106LAWAN,Handgun
19911111TXYSE,Handgun
19911114TXMIH,Handgun
19911125NYTHB,Handgun
19911226NCWHW,Handgun
19920128LAFRG,Handgun
19920131LAFRG,Handgun
19920206OKDOO,No Data
19920207VABON,Handgun
19920226NYTHB,Handgun
19920305OHHAO,Handgun
19920331LAOPA,Handgun
19920409FLFOF,Handgun
19920417TXLID,No Data
19920501CALIO,Rifle
19920501CALIO,Shotgun
19920514CASIN,Handgun
19920514TXHUH,Handgun
19920529CAVEL,No Data
19920606CAMEM,Handgun
19920911TXPAA,Handgun
19920928CAHIS,Handgun
19920930TXHOH,Shotgun
19921013AZDET,Handgun
19921019NYEVB,Rifle
19921104MIFID,Multiple Unknown
19921104MIMAD,No Data
19921104MIMUD,Handgun
19921110ILSHC,Handgun
19921113TXLAC,Handgun
19921116ALFAB,Handgun
19921120ILTIC,Handgun
19921124ALROM,Handgun
19921130ILORC,Handgun
19921203ILWOC,Handgun
19921214NYWAW,Handgun
19930105NYBRB,No Data
19930112FLNOM,Handgun
19930118KYEAG,Handgun
19930121CAFAL,Handgun
19930201NYAMA,Handgun
19930201WARER,No Data
19930204GACLA,Handgun
19930208DCWAW,Handgun
19930208MNMIM,Rifle
19930222CAREL,Handgun
19930226MAGLG,No Data
19930308VADOD,Handgun
19930318GAHAH,Handgun
19930325MOSUS,Handgun
19930403CAGRS,Shotgun
19930415MAFOA,Shotgun
19930416CAGRS,Handgun
19930416WAMOT,Handgun
19930514TXNII,Handgun
19930524PAUPP,Handgun
19930527LAFRN,Handgun
19930707CADOL,Handgun
19930803NYTHN,Handgun
19930831GAHAA,Handgun
19930901KSJUJ,Handgun
19930902TXROD,Handgun
19930916ILROC,No Data
19930917ILDOD,Handgun
19930917WYCES,Multiple Unknown
19930925DCWEW,Handgun
19930928MSCOG,Handgun
19931012DEDON,Handgun
19931018DCJHW,Handgun
19931101ILSUC,Handgun
19931104CTNEN,No Data
19931104FLTEJ,Handgun
19931104MSBAB,No Data
19931111ILRIS,Handgun
19931201WIWAW,No Data
19931202CTNEN,No Data
19931208GABES,Handgun
19931215CACHS,Handgun
19931217MICHC,Handgun
19940120CALOH,No Data
19940121TXKEK,Rifle
19940124SCEAC,Handgun
19940126DCELW,No Data
19940126DCPAW,Handgun
19940127CAWAS,Unknown
19940131WAWHS,Rifle
19940208MIOSD,No Data
19940218SCSPS,Handgun
19940301MOKEB,Shotgun
19940303ALENB,Handgun
19940309DCEAW,Handgun
19940315SCGOC,No Data
19940323WABAS,No Data
19940325GAETC,Handgun
19940405TXMCA,Handgun
19940408MDLAU,Handgun
19940412MTMAB,Handgun
19940413CA49L,Handgun
19940419DCELW,No Data
19940420INDIS,Handgun
19940421TNJTN,Handgun
19940502FLNON,Handgun
19940525INLAS,Handgun
19940525NJLAW,Handgun
19940526KYLAU,Handgun
19940724PAMAM,No Data
19940725IAOTO,Handgun
19940907CAHOL,No Data
19940908NYSWA,Handgun
19940919CALOL,No Data
19940922ORLEL,Handgun
19941012NCGRG,No Data
19941017ILHUC,Handgun
19941031CAALA,Handgun
19941105CATHS,Handgun
19941107OHWIW,No Data
19941108IAWEM,No Data
19941115WASTT,Handgun
19950105DCCAW,Handgun
19950110FLPAP,Handgun
19950112WAGAS,Handgun
19950123CASAR,Shotgun
19950124DCSPW,Handgun
19950202CAJOL,Handgun
19950208NECHS,Handgun
19950303MIPED,Handgun
19950327MIRED,Handgun
19950614FLLAL,Handgun
19950829TXMEL,Shotgun
19950912TNCYM,Handgun
19950914KSOLO,Handgun
19950915KYGEW,Multiple Handguns
19950927ALBLP,Handgun
19950929FLTAT,Handgun
19951012SCBLB,Handgun
19951023FLLAC,Handgun
19951030VAJOR,Handgun
19951102FLBLM,No Data
19951115TNRIL,Rifle
19951128NYTHN,Handgun
19960102PAGIG,No Data
19960119DCWIW,No Data
19960126TNEAM,Handgun
19960202WAFRM,Handgun
19960202WAFRM,Handgun
19960202WAFRM,Rifle
19960208CAMIM,Unknown
19960222GAJES,Handgun
19960229MOBES,Handgun
19960311NCNON,Handgun
19960319NVSWL,Other
19960411ALTAT,Shotgun
19960415DCMCW,No Data
19960514UTBIT,Handgun
19960522CACOC,Handgun
19960604CAWEH,No Data
19960726CAJOL,Handgun
19960925GADED,No Data
19961002PASMP,No Data
19961004CASTP,No Data
19961009ARJAS,No Data
19961014MOSUS,No Data
19961127CAHIS,Handgun
19970108NYCRN,Handgun
19970127FLCOW,Handgun
19970206MSWIJ,Handgun
19970213NYMOB,Handgun
19970213NYSAB,Handgun
19970219AKBEB,Shotgun
19970220FLFIJ,Handgun
19970221NVRAL,Handgun
19970317MIPED,Handgun
19970403CAMAM,No Data
19970428CAJOL,Handgun
19970430NYCIN,No Data
19970513FLNOM,Handgun
19970520OHDUD,Handgun
19970624ALJEM,Handgun
19971001MSPEP,Rifle
19971005OKMOO,Handgun
19971010INWAG,Handgun
19971014TXLAG,Handgun
19971015FLLIP,Shotgun
19971020CAMCO,No Data
19971022CAJON,Handgun
19971107FLRIJ,Handgun
19971113CACRS,Handgun
19971201KYHEW,Multiple Unknown
19971201KYHEW,Shotgun
19971201KYHEW,Shotgun
19971215ARSTS,Rifle
19980212NJHOH,Handgun
19980225MIRER,Rifle
19980227VAMAF,Rifle
19980324ARWEJ,Multiple Unknown
19980325CAFED,Handgun
19980325MICOC,Shotgun
19980330NCGRC,Handgun
19980331WIOAO,Rifle
19980423CACUL,No Data
19980424PAPAE,Handgun
19980428CAPHP,Handgun
19980428WIPAP,Handgun
19980501FLNOM,No Data
19980501NYPUB,Handgun
19980519TNLIF,Rifle
19980521CARIR,Handgun
19980521ORTHS,Handgun
19980521ORTHS,Handgun
19980521ORTHS,Rifle
19980521WAONO,Handgun
19980527CAWAP,No Data
19980529FLSTF,Handgun
19980615VAARR,Handgun
19980911CAHEG,No Data
19980930FLLEL,Handgun
19980930FLNOM,No Data
19981103PAMAP,Rifle
19981130NYHAH,Handgun
19981203INERG,Handgun
19981211INBEI,Handgun
19990108GACEC,Handgun
19990114NYHAN,Handgun
19990121TXRIN,Handgun
19990211ILOME,Handgun
19990211MSJEP,No Data
19990304ILNIS,Handgun
19990416IDNON,Shotgun
19990420COCOL,Handgun
19990420COCOL,Rifle
19990420COCOL,Shotgun
19990420COCOL,Shotgun
19990422GAMAA,Handgun
19990422LASCB,Handgun
19990520GAHEC,Handgun
19990520GAHEC,Rifle
19990825GAJAM,No Data
19990909CASAS,Handgun
19990927FLEGT,Unknown
19991004SDJOP,Handgun
19991011NVCLL,Handgun
19991021CASAP,Handgun
19991026PAMAP,No Data
19991026WVGUB,No Data
19991117TXDID,Rifle
19991119NMDED,Handgun
19991206OKFOF,Handgun
20000110AKBAA,Handgun
20000113NMALA,Handgun
20000119FLRIN,Handgun
20000120NCERA,Rifle
20000126CAALM,Handgun
20000126NESOO,No Data
20000210PAPEY,Handgun
20000214ILDUC,Handgun
20000229MIBUF,Handgun
20000310GABES,No Data
20000323OHMCL,Handgun
20000406OKHUH,Handgun
20000410AZLAT,Handgun
20000502COTHD,No Data
20000510AZCAS,Handgun
20000526FLLAL,Handgun
20000717WADIR,Handgun
20000726OHTIC,No Data
20000905OHBIB,No Data
20000907ILLOR,Handgun
20000918OHMOM,Handgun
20000926LACAN,Handgun
20001005MNMIM,No Data
20001024AZPIG,Handgun
20001101TXNEC,Handgun
20001201CAGRL,Handgun
20001201CAJUS,No Data
20001207CARIR,No Data
20001221FLNOM,No Data
20010103CABAS,Handgun
20010110CAHUO,Handgun
20010117MDLAB,Handgun
20010202MIOSD,No Data
20010302CAHOS,No Data
20010305CASAS,Handgun
20010306MDLAL,Handgun
20010307PABIW,Handgun
20010307WAKEC,Handgun
20010322CAGRE,Multiple Unknown
20010330INLEG,Handgun
20010402TXKLH,Handgun
20010410WAWAM,Rifle
20010420LAMOM,Handgun
20010425OHJOC,No Data
20010515TXENE,Handgun
20010607TXOUA,Handgun
20010730CABEL,Handgun
20010912KYLAC,Handgun
20010921MDLAB,Handgun
20011012UTTAT,Handgun
20011026CARER,Handgun
20011026MIBES,Handgun
20011112MICAC,Multiple Unknown
20011130TXFRF,Handgun
20020111MSRAJ,No Data
20020115NYMAN,Handgun
20020124PAOLO,Rifle
20020201TXBRB,Handgun
20020206CAGAL,Handgun
20020207ILROC,Handgun
20020322CAJOC,Handgun
20020406MDLEB,Handgun
20020426LAABN,Handgun
20021004MTCMG,Handgun
20021004TXPAS,Handgun
20021007MDBEB,Rifle
20021029NJLIJ,Handgun
20021107MOSTL,Handgun
20021115CAAML,No Data
20021115TXSCS,Shotgun
20021202MIOSD,Handgun
20021212WAWIC,Rifle
20021216ILENC,Handgun
20030121KYWEO,Handgun
20030130OKJEJ,Handgun
20030205CORAW,Handgun
20030318IACLG,Rifle
20030321MSNOM,Handgun
20030330CAROW,Handgun
20030401DCCAW,Handgun
20030414LAFAS,Handgun
20030414LAJON,Multiple Rifles
20030416TXGRA,No Data
20030424PARER,Multiple Handguns
20030513PAFOJ,No Data
20030910MSVIV,Handgun
20030917MACHB,Handgun
20030917MDOKE,Handgun
20030922WALES,Handgun
20030924MNROC,Handgun
20030925NCBUL,Handgun
20031001CARIS,Shotgun
20031007OHKEA,Handgun
20031029LAMAM,Handgun
20031030DCANW,Handgun
20031108TXHIS,Handgun
20031113NCEAC,Handgun
20031202ILFEC,Handgun
20031204OKDOO,Handgun
20031205ILCAC,Handgun
20031217MDOLM,Handgun
20031222NJCOW,Handgun
20031229FLABE,No Data
20040115CAPOP,Handgun
20040121NVFAH,Handgun
20040202DCBAW,Handgun
20040203TXYOH,Handgun
20040206LAFAS,Handgun
20040209NYCOE,Shotgun
20040211PATMP,Multiple Unknown
20040213OHCOD,Handgun
20040220LAGAS,Handgun
20040305CASAL,No Data
20040317WACRJ,Rifle
20040504TXKAH,No Data
20040507MDRAR,Handgun
20040512CAEAM,Shotgun
20040524UTWES,Handgun
20040609CACAO,No Data
20040803ALHUB,Handgun
20040824TNHAM,Handgun
20040830ILPRM,Handgun
20040912LABON,Handgun
20040915INWIG,Handgun
20041002NEJEG,Handgun
20041007MANEN,Shotgun
20041012CALAS,Handgun
20041015CABIB,No Data
20041021MDTHB,Handgun
20041022CATYH,No Data
20041115ALPAB,Handgun
20041115INBRG,No Data
20041116SCBAB,Handgun
20041117FLAPA,Handgun
20041119FLTEJ,Handgun
20041209WALAS,No Data
20041213LALAL,Handgun
20041231TXRIR,Handgun
20050105PAMUN,Handgun
20050126ILWOP,Handgun
20050204GAMCA,Handgun
20050208ILBOC,No Data
20050302TNSTD,Handgun
20050309TNMAN,Handgun
20050310TXZAD,Handgun
20050314OHLEC,Handgun
20050316PACAP,Rifle
20050317CALOL,Handgun
20050317LAOPA,Handgun
20050321MNRER,Handgun
20050321MNRER,Shotgun
20050321NYNEB,Handgun
20050324TNFAM,Handgun
20050330TNEAM,Handgun
20050407TXCAC,Handgun
20050427LALER,Handgun
20050429OHDAC,No Data
20050514TXBER,Handgun
20050517PAHIL,Handgun
20050520ILLOM,Other
20050524COACD,Other
20050524LABOS,Handgun
20050608NYARP,Other
20050612NJBAA,Handgun
20050718NJWEN,Handgun
20050816VICOE,No Data
20050817CAPLB,Handgun
20050819GAMOM,Handgun
20050825TNMAD,Handgun
20050901AKDIA,Handgun
20050902FLSOJ,Handgun
20050913ILHAC,Handgun
20050924MISAS,No Data
20051011MIFAF,Shotgun
20051014NYSAN,Handgun
20051019CASAS,No Data
20051020MISAS,Handgun
20051027CABIF,No Data
20051028MDANA,Handgun
20051028NYFAF,Handgun
20051108TNCAJ,Handgun
20051115FLPAM,Handgun
20051116TXIRS,Handgun
20051205MABOR,Handgun
20051206CASAG,Handgun
20051206MICED,Handgun
20060103NJLIJ,Handgun
20060110DEMOW,Handgun
20060111WIMAM,No Data
20060113ALPIP,Handgun
20060113FLMIL,Rifle
20060113MIOSD,Handgun
20060118MTFRA,Other
20060118TXPAA,Handgun
20060118VAINC,Handgun
20060119OHWIC,No Data
20060123CAWIV,Handgun
20060127TXLAG,Handgun
20060130MTCMG,Handgun
20060203CALOC,Handgun
20060209DEWIN,Handgun
20060215PAWEY,Handgun
20060221PAWEP,Rifle
20060223ORROR,Handgun
20060310NYISN,Other
20060314NVPIR,Handgun
20060405DCROW,No Data
20060418TXWEH,Handgun
20060424NCEAC,Shotgun
20060505FLPAM,Handgun
20060522SCBUI,Handgun
20060525PANON,Rifle
20060605CAVEL,Handgun
20060606INWIG,Handgun
20060615MIPED,Handgun
20060731FLYOT,Handgun
20060815KYJTV,Handgun
20060817TXMEA,Handgun
20060819OHSOY,Handgun
20060820GALYH,Handgun
20060821INCAN,Handgun
20060824VTESE,Handgun
20060829DCANW,Handgun
20060830NCORH,Multiple Unknown
20060831ALOXO,Handgun
20060905TNKIM,Handgun
20060908TXSOF,Handgun
20060913MOWEC,Handgun
20060921DCCAW,Handgun
20060927COPLB,Multiple Handguns
20060929WIWEC,Multiple Unknown
20061002PAWEN,Multiple Unknown
20061009MOMEJ,Rifle
20061010NYPOP,Other
20061012MDGRB,Handgun
20061017TXSEK,No Data
20061031TNHAK,Handgun
20061111CALIO,Handgun
20061122GASAA,Handgun
20061201NCJOT,Handgun
20061207NENOO,Handgun
20061211ILCLC,Handgun
20061212PASPS,Rifle
20061213PABAB,Other
20061214PAMCC,Rifle
20070102NCWEF,Handgun
20070103WAHET,Handgun
20070104MINOD,No Data
20070108OHROC,Multiple Handguns
20070109CAGRV,No Data
20070109NVWEL,Handgun
20070118PAWIP,Handgun
20070124TNHAS,Handgun
20070131ILHIC,Handgun
20070207FLPAJ,Handgun
20070208ORCRP,Handgun
20070208TXSTP,Other
20070226CASLA,Other
20070227GACLA,Other
20070307CACEC,Handgun
20070307MIHEM,Handgun
20070307TXGRG,No Data
20070308TNEAC,Handgun
20070323FLUNO,Other
20070327CTSAH,Handgun
20070329SCMYM,Handgun
20070410ILCHC,Handgun
20070410ORSPG,Rifle
20070418NCNOH,Handgun
20070503OHGED,Other
20070504TXTIE,Handgun
20070510MIHED,No Data
20070512TXWEM,Shotgun
20070515TXLIL,Handgun
20070523RIOAC,Other
20070530NCVAG,Other
20070531NCNOG,Other
20070617SCBRB,Handgun
20070628TXDAD,Handgun
20070709ILCAC,No Data
20070804NJMON,Handgun
20070928CALAO,Handgun
20070930AZSSP,No Data
20071001CTPLM,Other
20071010OHSUC,Multiple Handguns
20071024TNMAM,Handgun
20071105LAJOR,Handgun
20071126NYHOH,Handgun
20071221CABAU,No Data
20080204TNHAM,Handgun
20080211TNMIM,Handgun
20080214CAEOO,Handgun
20080306ALDAM,Handgun
20080416CAROF,Handgun
20080516LAMAT,No Data
20080811WAWAK,Handgun
20080814WALAF,Handgun
20080821TNCEK,Handgun
20080902OHSOW,Handgun
20080915CAMIS,Handgun
20080919CAGEA,No Data
20081016MIHED,No Data
20081020CAVAA,Handgun
20081023ALPRP,Handgun
20081029CAELG,Other
20081031MESTS,No Data
20081103CABEB,Handgun
20081103CAELO,Other
20081112FLDIF,Handgun
20081115COTHL,Handgun
20081115UTDES,Handgun
20081118CACEC,Handgun
20081118CACOO,Handgun
20081125TXNOH,No Data
20081130CAOAG,Handgun
20081202CAKIK,Handgun
20081205MNSHF,Handgun
20081212NCGUA,Handgun
20081212NYWIM,Handgun
20081221SCSUS,Handgun
20081222FLLAL,Handgun
20081227PAWIP,No Data
20081231GASHS,Shotgun
20081231OKKEN,No Data
20090108DEWIN,Handgun
20090109ILDUC,Handgun
20090114ILPEC,No Data
20090120ILCOC,Handgun
20090120MIBEM,Multiple Handguns
20090120PAEAE,Handgun
20090123ILCAC,Handgun
20090127NCCLC,Handgun
20090210CABAE,Handgun
20090211NCSCZ,Handgun
20090217MICED,Handgun
20090220CAJOH,Shotgun
20090223CTBRN,Handgun
20090302SDROS,Other
20090306NCWEF,No Data
