Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day
20040220LAGAS,https://www.iberianet.com/news/two-dead-in-friday-murder-suicide/article_6e2281d6-1558-5273-b883-8aa0132a8b2e.html,,,2,2004-02-20,Winter,Gathway Christian Academy,St. Martinville,LA,K-12,Classroom,Inside School Building,Yes,Morning Classes,11:15 AM,"Teacher shot by fiance, he fled and shot himself 30 minutes later",41YOM shot and killed his 19YOF fiance who was a teacher at the k-12 Christian school. Fled the scene and killed himself 30 minutes later. Shooter was a reserve police officer.,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,1,,2004,2,20
20040213OHCOD,https://www.newspapers.com/image/410611502/,,,2,2004-02-13,Winter,Colonel White High School,Dayton,OH,High,Parking Lot,Outside on School Property,Yes,Lunch,1:00 PM,Student shot during carjacking in parking lot,17YOM student shot during attempted carjacking in the school parking lot. Shot fled into school and changed clothes in locker room. Gun was not recovered.,Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,1,,2004,2,13
20040211PATMP,http://www.foxnews.com/story/2006/03/16/two-guilty-in-slaying-philadelphia-boy.html,,,2,2004-02-11,Winter,T M Peirce Elementary School,Philadelphia,PA,Elementary,Playground,Outside on School Property,Yes,School Start,8:30 AM,"Shootout between drug deals, student and teacher hit in cross fire","Two drug dealers in a feud over territory fired 90 shots at each other striking a student and teacher on the playground of the elementary school. Both were later arrested. Weapons: carbine rifle, assault weapon",Illegal Activity,Both,No,No,No,No,No,No,Yes,No,90,,2004,2,11
20040209NYCOE,https://www.nytimes.com/2004/12/19/nyregion/student-agrees-to-20year-term-after-nonfatal-shooting-spree-in.html https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,,,3,2004-02-09,Winter,Columbia High School,East Greenbush,NY,High,Bathroom,Inside School Building,Yes,Morning Classes,10:30 AM,"Planned attack, sent texts warning others, tackled after first shot","16YOM went into bathroom and sent text message to girl warning her to get out of school. Had been talking about school shooting for past two week including watching ""Bowling for Columbine"". Wore black trench coat. Walked out of bathroom with shotgun and fired at a student but missed. Tackled by the asst principal. Fired again striking another teacher in the leg before being subdued. Shooter was considered a good student and did not have disciplinary issues. Described as shy by classmates. Told other students about his plans to shoot up the school. ",Indiscriminate Shooting,,No,No,No,No,No,No,No,Yes,2,Yes,2004,2,9
20040206LAFAS,https://www.shreveporttimes.com/story/news/2017/11/07/times-files-officer-fires-shot-fair-park-high/841429001/,,,2,2004-02-06,Winter,Fair Park High School,Shreveport,LA,High,Parking Lot,Outside on School Property,Yes,,,Police officer fired at student in vehicle in parking lot,Student had been involved in fight with other students. He drove a stolen car into a staff only parking lot. Officer fear his life was in danger at fired at the student in the vehicle. Shots missed and no one was injured.,Illegal Activity,Victims Targeted,No,No,No,Yes,,,,,1,,2004,2,6
20040203TXYOH,https://www.chron.com/news/houston-texas/article/Fifth-grader-accidentally-shoots-himself-at-school-1979500.php,,,2,2004-02-03,Winter,Youens Elementary School,Houston,TX,Elementary,Classroom,Inside School Building,Yes,Afternoon Classes,10:30 AM,"Showed off gun, fired when he put it into waistband of pants striking himself",12YOM student was showing off gun to other students in the classroom. Fired when he put it back into the waistband of his pants. ,Accidental,Neither,No,No,No,No,No,No,No,No,1,,2004,2,3
20040202DCBAW,http://www.washingtonpost.com/wp-dyn/articles/A13630-2004Feb4.html,,,2,2004-02-02,Winter,Ballou Senior High School,Washington,DC,High,Beside Building,Outside on School Property,Yes,Morning Classes,10:30 AM,Multiple fights between shooter and victim,"Ongoing dispute between two students had resulted in multiple fist fights. During a fist fight, the shooter pulled a handgun and fired multiple shots killing the victim. The school and the parents were both aware the fights and had attempted resolution.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,,2004,2,2
20040121NVFAH,https://lasvegassun.com/news/2004/feb/27/inquest-begins-in-shooting-at-elementary-school/,3,Local,2,2004-01-21,Winter,Fay Galloway Elementary School,Henderson,NV,Elementary,Classroom; Parking Lot,Both Inside/Outside,No,After School,4:50 PM,"Domestic, shooter killed man in parking lot and went into school looking for ex-girlfriend (teacher); took her hostage; confronted by police officer and killed",Shooter had troubled relationship with an ex-girlfriend who was a teacher at the school. Shooter killed an adult male in the parking lot (likely her new boyfriend) and went into the school. Shooter took the ex-girlfriend hostage for 20 minutes before walking her out to the parking lot where he was shot and killed by a police officer investigating the shooting. Students were in the school during the incident but were not harmed.,Domestic w/ Targeted Victim,Victims Targeted,No,Yes,No,No,No,Yes,No,No,,Yes,2004,1,21
20040115CAPOP,https://www.newspapers.com/image/192733466/?terms=Pomona%2BHigh%2BSchool%2Bstudent%2Bshot,,,2,2004-01-15,Winter,Pomona High School,Pomona,CA,High,Classroom,Inside School Building,Yes,Morning Classes,,"Students passing .22 pistol, went off, female student shot but didn't notice pain until later, teacher thought it was firecracker","Two 17YOM students were passing a .22 pistol in the classroom. The gun went off striking a 16YOF student. She did not immediately realize she had been struck, later determined the bullet was 2"" from her heart. Teacher thought a firecracker went off. Wasn't determined to be a shooting until later. Student holding the gun was arrested later.",Accidental,Random Shooting,Yes,No,No,No,No,No,No,No,1,,2004,1,15
20031229FLABE,https://www.news4jax.com/news/two-brothers-arrested-for-school-lot-shooting,,,2,2003-12-29,Winter,Abess Park Elementary School,East Arlington,FL,Elementary,Parking Lot,Outside on School Property,No,Night,4:00 AM,Shooting between rival gangs in school parking lot,Shooter fired 15 shots at rival gang members in car parked in the school parking lot killing one and injuring one. Shooter then shot himself to make it appear that it was self defense and had his brother drive him to the hospital.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,15,,2003,12,29
20031222NJCOW,https://www.newspapers.com/image/225032236/?terms=Colonia%2BHigh%2BSchool%2Bhandgun,,,2,2003-12-22,Winter,Colonia High School,Woodbridge,NJ,High,Parking Lot,Outside on School Property,No,Evening,10:00 PM,"Drive-by in school parking lot, Ongoing dispute with target",Shooter and 2 others in a vehicle fired +20 rounds from a Tec-9 machine gun at a 18YOM in a vehicle with 3 of people in the school parking lot. A basketball game had recently ended but police said the shooting was not related to it. The shooter had an ongoing dispute with the target. The shooter fled the scene in the vehicle and was later arrested. ,Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,No,No,>20,,2003,12,22
20031217MDOLM,http://articles.baltimoresun.com/2003-12-18/news/0312180341_1_two-middle-schools-school-officials-mill-high,,,2,2003-12-17,Winter,Old Mill High School,Millersville,MD,High,Bathroom,Inside School Building,Yes,Morning Classes,,"Shot fired in bathroom by unknown shooter, gun found in stall, no suspect",Students and teacher heard gunshot. School was locked down. Police found a .38 revolver that had been fired in a bathroom. No suspect identified.,Accidental,,No,No,No,No,,,No,,1,,2003,12,17
20031205ILCAC,https://dailyegyptian.com/27496/archives/man-shot-in-leg-cchs-game/,,,2,2003-12-05,Winter,Carbondale Community High School,Carbondale,IL,High,Parking Lot,Outside on School Property,No,Sport Event,,Shooting in parking lot after basketball game during argument that started in gym,17YOM shot 33YOM football coach in the parking lot following an argument they had during a basketball game. Shooter fled but was quickly arrested by a police officer assigned to the school.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,,2003,12,5
20031204OKDOO,https://newsok.com/article/1961014/arrest-warrant-issued-in-high-school-shooting,,,2,2003-12-04,Winter,Douglas High School,Oklahoma City,OK,High,Beside Building,Outside on School Property,Yes,Afternoon Classes,2:10 PM,"Fight outside school gym, shot fired striking uninvolved female student",Single shot fired during large fight between multiple students. Female student was struck. First believed she was punched and it was later determined that she had been shot in the nose.,Escalation of Dispute,Random Shooting,No,No,No,No,No,No,No,No,1,,2003,12,4
20031202ILFEC,https://files.eric.ed.gov/fulltext/ED519244.pdf .  https://www.newspapers.com/image/231250055/?terms=fermi%2Belementary%2Bschool .  https://www.newspapers.com/image/231261973/?terms=fermi%2Belementary%2Bschool,,,3,2003-12-02,Winter,Fermi Elementary School,Chicago,IL,Elementary,Field (General),Outside on School Property,No,Evening,9:40 PM,Suspect stopped by police on school playground - refused to drop gun - was shot.,Police officer shot and killed a man who pointed a revolver at the officer on the field of the school.,Self-defense,Victims Targeted,No,No,No,Yes,No,No,,No,3,,2003,12,2
20031113NCEAC,https://www.columbine-angels.com/School_Violence_2003-2004.htm,,,1,2003-11-13,Fall,East Mecklenburg High School,Charlotte,NC,High,Classroom,Inside School Building,Yes,Morning Classes,11:45 AM,Accidental discharge in students pocket,Handgun in a 15YOM students pocket discharged grazing two other students.,Accidental,Neither,No,No,No,No,No,No,No,No,1,,2003,11,13
20031108TXHIS,https://www.chron.com/news/houston-texas/article/Man-convicted-of-killing-student-outside-stadium-1624934.php,,,2,2003-11-08,Fall,Hightower High School,Sugarland,TX,High,Football Field/Track,Outside on School Property,No,Sport Event,9:20 PM,"Fight between large group of males following football game, uninvolved female student was shot and killed",21YOM fired shot during large fight after football game striking 17YOF student in the head. Shooter fled the scene and was later arrested.,Escalation of Dispute,Random Shooting,No,No,No,No,No,No,No,No,1,,2003,11,8
20031030DCANW,https://www.washingtonpost.com/archive/politics/2003/10/31/anacostia-high-student-is-fatally-shot-at-school/a36cda4b-5726-44b6-8658-07f7b3d2c499/?utm_term=.9b19cef0c21d,,,2,2003-10-30,Fall,Anacostia High School,Washington,DC,High,Beside Building,Outside on School Property,No,School Event,3:15 PM,"Gang related shooting, two bystander students struck",Gang related shooting outside of homecoming dance. Two bystander students were struck. Unknown teenage shooter fled the scene.,Escalation of Dispute,Both,No,No,No,No,No,No,Yes,No,<10,,2003,10,30
20031029LAMAM,https://www.newspapers.com/image/226188784/,,,2,2003-10-29,Fall,Marion High School,Marion,LA,High,Classroom,Inside School Building,Yes,Morning Classes,7:55 AM,"Pulled gun, took teachers car keys, kidnapped other student, drove car in police chase","14YOM pulled handgun in classroom and forced teacher to give him car keys. Pointed gun at 12YOM student and took him hostage. Took student to parking lot, got in vehicle, and involved in 14 mile police chase. Shooter surrendered when police blocked highway. No injuries.",Hostage/Standoff,,No,Yes,No,No,No,No,No,No,0,Yes,2003,10,29
